"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"16","UHRF1","29128",1,1,0.458966077863764,0.542918762366119,0.993585397653194,0.826086956521739,1,0.279562103568739,1,78.6029905497708
"17","TOP2A","7153",1,1,0.490750817936324,0.546573618584398,1,1,1,0.00583244017469586,1,78.5062176399956
"18","ENO1","2023",1,0.718093359461316,1,0.277419549032283,0.726223381138635,0.695652173913043,0.462046204620462,0.999975819665289,1,76.6405321410894
"19","CDCA5","113130",0.948445148724901,0.837821036813987,0.358785616515191,0.373477478506275,0.997757496740548,1,0.968096809680968,0.465096481119893,1,76.3052889128548
"20","CEP55","55165",0.863816586566523,1,0.43733368230535,0.52680911247045,0.999843546284224,0.695652173913043,0.902090209020902,0.450151230108897,1,76.2156256900336
"21","KRT18","3875",0.737320795224638,0.984006237547043,0.55600568573925,0.50330822329092,0.859730551933942,0.695652173913043,0.286028602860286,0.99998958155841,1,76.2107641169659
"22","DDX39A","10212",1,0.653253926035364,1,0.229974103366959,0.753342025206432,0.826086956521739,0.044004400440044,1,1,76.0171413886083
"23","MCM2","4171",0.714093053425984,0.825058497778774,0.510383457812801,0.362708147362535,0.994628422425033,0.695652173913043,0.836083608360836,0.999977062389036,1,75.7736369634007
"24","GINS2","51659",0.895786118056779,0.970386008873841,0.360981075903024,0.490693885671813,1,1,0.88008800880088,0.156647856786743,1,75.5532519101968
"25","ZWINT","11130",0.717193240636184,0.914329169804019,0.412591476620911,0.439797745278883,0.995671447196871,0.565217391304348,0.902090209020902,0.99999138242926,1,75.4722064999053
"26","CENPA","1058",0.681332678168261,0.965834004042942,0.456417621943391,0.486575724295286,1,0.391304347826087,1,1,1,75.071905879734
"27","SPAG5","10615",0.794726318595151,0.811768118918769,0.427346692782251,0.351666613703427,0.984893524554542,1,1,0.547317695038558,1,75.0101292444995
"28","PRC1","9055",1,0.785987643915683,0.511054806285677,0.330630653155946,0.976897001303781,1,0.968096809680968,0.211538432641568,1,74.6616673096532
"29","CENPU","79682",0.830126903165951,0.737391677070277,0.63473467318912,0.292146972154055,0.976897001303781,0.565217391304348,0.748074807480748,0.999992912976415,1,74.6325421413595
"30","B4GALT3","8703",0.863485749052079,0.598894842034304,0.775866929256725,0.192784895094878,0.85903520208605,1,0.044004400440044,0.999963803756522,1,74.4095054480349
"31","SFN","2810",0.699586655711783,0.756798322416926,0.490780433320476,0.307365663054722,0.945953933072577,1,0.286028602860286,0.962591171352877,1,74.3702190338655
"32","LSR","51599",1,0.93859047682604,0.557254901904339,0.461671566627119,0.911534115601912,1,0.022002200220022,0.15719367468852,1,74.2360099575256
"33","CCNB1","891",0.942542974826889,0.883616867335744,0.368559625540784,0.412715066571094,1,1,1,0.123316970974186,1,74.1747038053613
"34","FANCD2","2177",0.922018218117827,0.72780539662794,0.573349229435256,0.284783850740085,0.934480660582356,0.565217391304348,0.55005500550055,0.999994347736105,1,73.5174579697068
"35","ISG15","9636",0.768905721477462,0.611609958944345,0.631453811577611,0.201228808253644,0.934480660582356,1,0.11001100110011,1,1,73.3390571788278
"36","TTK","7272",0.819201777233987,1,0.215487256829899,0.603302890249345,1,1,0.99009900990099,0,1,73.2646036759297
"37","PBK","55872",0.817848802728877,1,0.292269028129704,0.608782022052248,0.992890047805302,0.695652173913043,0.968096809680968,0.214747904120582,1,72.519892353699
"38","NCAPG","64151",1,0.801321840321454,0.399511679889597,0.343144869418417,0.993237722729248,1,0.924092409240924,0.0732674234649159,1,72.5000902731534
"39","DLGAP5","9787",0.822126848226563,1,0.260554009773762,0.598187425679249,0.998800521512386,0.695652173913043,0.99009900990099,0.110345127457866,1,71.2122579220939
"40","ZNF165","7718",0.805841893810981,0.666105563929123,0.677715415568074,0.239102945107762,0.911186440677966,0.695652173913043,0,0.999978464880269,1,71.18042428579
"41","UCK2","7371",0.876009649890086,0.567631813110908,0.779569595651874,0.172683283042379,0.67129074315515,1,0.066006600660066,0.999999964942075,1,70.2618493408489
"42","KIF14","9928",0.779093562831188,0.985878440466633,0.271015922814502,0.505052026498859,0.986631899174272,0.695652173913043,0.924092409240924,0.215884310739557,1,70.0340078434901
"43","MCM7","4176",1,0.66078968745023,0.644112081740205,0.235311435094925,0.800278139939157,1,0.88008800880088,0.230435109830778,1,69.7543157498183
"44","NME1","4830",0.907526651234798,1,0.351878444776492,0.761072104778909,0.829135158626684,0.695652173913043,0.088008800880088,0.11291515761087,1,69.3844869501912
"45","SAPCD2","89958",0.829511346039728,0.77861679433126,0.48035004426808,0.324704761197344,0.994628422425033,0.304347826086956,0.022002200220022,1,1,68.7852005929831
"46","DDIAS","220042",0.825750819535199,0.918826349669185,0.351100780812683,0.443830498921878,0.987327249022164,0.304347826086956,0.088008800880088,0.755108677141154,1,68.1770877932147
"47","TYMS","7298",0.946884884681713,0.643222693389874,0.340183215390515,0.222928780738844,0.947344632768362,1,1,0.0557042108570656,1,66.5227848104924
"48","KIF15","56992",0.596423299960872,0.845329604011042,0.178855638645631,0.379778556809035,0.976897001303781,0.695652173913043,0.946094609460946,0.505051367310558,1,65.6627146155833
"49","SPAG4","6676",0.911162973894903,0.382603135718128,0.848296065398503,0.0724028854772114,0.563163841807909,1,0.044004400440044,0.99999926174713,1,65.5563956000406
"50","ANLN","54443",0.994706029422129,0.740704516242801,0.266650751913076,0.294721022805897,0.988022598870057,0.565217391304348,1,0.193499637134908,1,65.5102659803391
